chrname	position	gene	label
chr1	176929381	AK8	1
chr1	99674761	APBA1	2
chr1	160220243	ASTN2	3
chr1	209348537	BRD1	4
chr1	162814675	BRINP1	5
chr1	172778276	CCBL1	6
chr1	184390555	COMT	7
chr1	43195553	DACH1	8
chr1	157795032	DFNB31	9
chr1	64787677	DLEU1	10
chr1	102508805	DMRT1	11
chr1	172172286	DNM1	12
chr1	76134517	FAM120A	13
chr1	99761752	FAM189A2	
chr1	13544455	FARP1	
chr1	141444400	GABBR2	
chr1	171257627	GARNL3	
chr1	177089265	GFI1B	
chr1	105773381	GLIS3	
chr1	9353928	GPC6	
chr1	11946397	HS6ST3	
chr1	102355549	KANK1	
chr1	40810396	KLF12	
chr1	194083857	LIMK2	
chr1	129982183	LINGO2	
chr1	185753800	MAPK1	
chr1	12434263	MBNL2	
chr1	24298236	MYO16	
chr1	135983685	NCAN	
chr1	174221482	NCS1	
chr1	61989929	OLFM4	
chr1	204140487	PARVB	
chr1	47639101	PCDH9	
chr1	128880221	PLAA	
chr1	92150726	PRUNE2	
chr1	110153603	PTPRD	
chr1	170988194	RALGPS1	
chr1	201957408	RANGAP1	
chr1	137340601	RUSC2	
chr1	79697134	SLC35D2	
chr1	117313610	SNAPC3	
chr1	13636954	STK24	
chr1	153921428	SVEP1	
chr1	195177934	SYN3	
chr1	184185289	TBX1	
chr1	129165965	TEK	
chr1	142263282	TGFBR1	
chr1	88795989	TLE4	
chr1	152499424	TMEM245	
chr1	94287936	TRPM6	
chr1	184328747	TXNRD2	
chr1	177910489	VAV2	
chr1	185662586	YPEL1	
chr1	184579982	ZDHHC8	
chr10	100831477	BATF	
chr10	125038674	BCL11B	
chr10	120823384	CLMN	
chr10	18583781	CTSH	
chr10	29810261	FAM214A	
chr10	1021914	FAM63B	
chr10	77449432	FERMT2	
chr10	20977514	FRMD5	
chr10	92143806	GPHN	
chr10	10859712	ITGA11	
chr10	84428861	JKAMP	
chr10	87858982	KCNH5	
chr10	737465	LIPC	
chr10	57927415	NPAS3	
chr10	104304502	NRXN3	
chr10	98615006	NUMB	
chr10	96268499	PCNX	
chr10	35673260	PLCB2	
chr10	129695278	PPP1R13B	
chr10	127849989	PPP2R5C	
chr10	53707322	PRKD1	
chr10	5639063	RAB8B	
chr10	93070807	RAD51B	
chr10	60186073	RALGAPA1	
chr10	97711018	RGS6	
chr10	2830581	RORA	
chr10	84569621	RTN1	
chr10	26097821	SHC4	
chr10	85486305	SIX6	
chr10	118042339	SLC24A4	
chr10	82426131	SLC35F4	
chr10	22041864	SORD	
chr10	27813086	SPPL2A	
chr10	130006345	TDRD9	
chr10	5092138	TLN2	
chr10	102584364	TMEM63C	
chr10	6704991	TRIP4	
