chrname	position	label
chr2	150155065	ACTBL2
chr5	4103534	BPIFA1
chr6	124166346	CRYGA
chr6	124117088	CRYGD
chr10	13563606	CT62
chr10	25339409	CTXN2
chr9	43667806	DCD
chrX	62140887	DGAT2L6
chr12	34675722	FAM170B
chr12	110840414	FAM24A
chr3	186605916	GPR78
chr2	55363804	GRIFIN
chr5	113888140	HCRT
chr5	113038349	KRTAP16-1
chr5	113031592	KRTAP29-1
chr12	75319722	LIPK
chr3	124256290	MUC7
chr16	5905104	NPBWR1
chr12	115531036	NPS
chr18	12205530	OR10K2
chr1	166283034	OR1J4
chr11	70321509	OR2D3
chr19	32263348	OR2T10
chr6	9607389	OR4F15
chr10	44160443	OR4K1
chr10	44331056	OR4K2
chr10	44252251	OR4K5
chr10	44391723	OR4N2
chr10	44440234	OR4Q3
chr11	68749017	OR51B5
chr11	68783746	OR51M1
chr11	68385090	OR52E2
chr11	114202039	OR5B3
chr11	112529838	OR5M11
chr9	44067797	OR9K2
chr17	30608029	PLSCR5
chr22	41297281	PTH2
chr2	169354576	RXFP3
chr2	45484293	SPINK6
chr7	145998737	UBL4B
chr11	68954646	UBQLNL
